년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
20-Jan,서귀포시,남원읍,건강보조식품 소매업,10,1475000,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,골프장 운영업,3929,727062477,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,과실 및 채소 소매업,3313,159828593,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,관광 민예품 및 선물용품 소매업,366,6843000,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,그외 기타 종합 소매업,12,5210000,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,기타 외국식 음식점업,57,1283000,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,기타 주점업,120,23362000,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,기타음식료품위주종합소매업,8549,393338690,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,비알콜 음료점업,1285,15136220,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,빵 및 과자류 소매업,1233,19235160,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,서양식 음식점업,3830,83475640,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,수산물 소매업,328,69082500,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,슈퍼마켓,3945,115452200,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,스포츠 및 레크레이션 용품 임대업,164,4966200,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,여관업,523,91234279,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,욕탕업,95,1116500,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,육류 소매업,688,50095260,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,일반유흥 주점업,105,21562000,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,일식 음식점업,616,61091000,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,전시 및 행사 대행업,4587,106368840,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,중식 음식점업,678,18712500,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,차량용 가스 충전업,261,27790090,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,차량용 주유소 운영업,6891,414308939,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,체인화 편의점,12707,139731660,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",547,12897300,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,한식 음식점업,10245,465945052,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,화장품 및 방향제 소매업,165,6386800,16801997.61,2020-12-15
20-Jan,서귀포시,남원읍,휴양콘도 운영업,3023,253521420,16801997.61,2020-12-15
20-Jan,서귀포시,대륜동,건강보조식품 소매업,104,40428500,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,과실 및 채소 소매업,645,122247500,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,그외 기타 종합 소매업,93,185890000,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,기타 대형 종합 소매업,23558,1533619260,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,기타 외국식 음식점업,1045,45383660,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,기타 주점업,5,1080000,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,기타음식료품위주종합소매업,3541,138006370,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,마사지업,5,957000,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,비알콜 음료점업,3199,29394140,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,빵 및 과자류 소매업,2762,47211460,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,서양식 음식점업,3808,106062105,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,수산물 소매업,117,14028150,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,슈퍼마켓,2888,69242410,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,스포츠 및 레크레이션 용품 임대업,1,220000,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,여관업,1591,254452528,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,욕탕업,149,4597500,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,육류 소매업,131,13344200,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,일반유흥 주점업,119,18314000,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,일식 음식점업,817,52331000,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,전시 및 행사 대행업,377,48200200,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,중식 음식점업,1313,33003400,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,차량용 주유소 운영업,6288,345572315,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,체인화 편의점,20548,184608030,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,"피자, 햄버거, 샌드위치 및 유사 음식점업",330,15192990,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,한식 음식점업,15033,595283500,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,호텔업,32,5656180,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,화장품 및 방향제 소매업,5,445000,16830498.28,2020-12-15
20-Jan,서귀포시,대륜동,휴양콘도 운영업,41,123004600,16830498.28,2020-12-15
20-Jan,서귀포시,대정읍,건강보조식품 소매업,51,11707300,18476081.71,2020-12-15
20-Jan,서귀포시,대정읍,과실 및 채소 소매업,461,44083700,18476081.71,2020-12-15
