읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액,업종 이용률,업종별 이용금액률,창업비용,창업radio,점포당 이용률
노형동,10831,1968764080,문화레저,,,0.006145147,0.030560398,143000000,,
노형동,13869,1845526140,숙박업,28,65911647.86,0.007868807,0.028647421,417000000,0.158061506,495.3214286
노형동,232595,8715171311,소매업,68,128164284,0.131966623,0.135282387,92000000,1.393090043,3420.514706
노형동,1505234,51892607922,음식,861,60270160.19,0.854019423,0.805509794,89000000,0.677192811,1748.239257
송산동,47826,4251484853,숙박업,49,86764997,0.032217711,0.066150043,417000000,0.208069537,976.0408163
송산동,49830,5634553308,문화레저,,,0.033567694,0.087669592,143000000,,
송산동,299191,15179397255,소매업,13,1167645943,0.201548304,0.23618049,92000000,12.69180372,23014.69231
송산동,1087616,39204891377,음식,152,257926917,0.732666291,0.609999876,89000000,2.898055247,7155.368421
애월읍,87769,3512815249,소매업,108,32526067.12,0.095089462,0.10154485,92000000,0.353544208,812.6759259
애월읍,787250,26992281558,음식,843,32019313.83,0.852911383,0.780265114,89000000,0.359767571,933.8671412
애월읍,37012,3766002728,숙박업,184,20467406.13,0.040099023,0.108863734,417000000,0.049082509,201.1521739
애월읍,10984,322631579,문화레저,,,0.011900132,0.009326302,143000000,,
연동,78211,14514851624,숙박업,79,183732299,0.051824674,0.18700358,417000000,0.440605034,990.0126582
연동,45576,6648606611,문화레저,,,0.030199861,0.085658005,143000000,,
연동,145821,4191700473,소매업,83,50502415.34,0.096624846,0.054004203,92000000,0.548939297,1756.879518
연동,1239538,52262882930,음식,1062,49211754.17,0.821350618,0.673334212,89000000,0.552941058,1167.173258
이도2동,205421,8478059764,소매업,62,136742899.4,0.120387757,0.144282214,92000000,1.486335863,3313.241935
이도2동,1471450,46886500716,음식,981,47794598.08,0.862348857,0.797928809,89000000,0.537017956,1499.949032
이도2동,12348,1271173613,숙박업,26,48891292.81,0.007236592,0.021633221,417000000,0.117245306,474.9230769
이도2동,17109,2124521422,문화레저,,,0.010026794,0.036155755,143000000,,
정방동,34746,4492369871,문화레저,,,0.035359991,0.104120565,143000000,,
정방동,684580,24555916274,음식,143,171719694.2,0.696677101,0.56913744,89000000,1.929434767,4787.272727
정방동,232622,11353592020,소매업,10,1135359202,0.236732625,0.263144499,92000000,12.34086089,23262.2
정방동,30688,2743967720,숙박업,26,105537220,0.031230283,0.063597495,417000000,0.253086859,1180.307692
중앙동,34746,4492369871,문화레저,,,0.035359991,0.104120565,143000000,,
중앙동,232622,11353592020,소매업,53,214218717.4,0.236732625,0.263144499,92000000,2.328464319,4389.09434
중앙동,684580,24555916274,음식,155,158425266.3,0.696677101,0.56913744,89000000,1.780059172,4416.645161
중앙동,30688,2743967720,숙박업,9,304885302.2,0.031230283,0.063597495,417000000,0.731139813,3409.777778
천지동,34831,4572865091,문화레저,,,0.030840406,0.096873374,143000000,,
천지동,816266,28003399387,음식,220,127288179,0.722746249,0.593235035,89000000,1.430204259,3710.3
천지동,32435,2937384465,숙박업,44,66758737.84,0.028718916,0.062226709,417000000,0.160092897,737.1590909
천지동,245863,11690912025,소매업,11,1062810184,0.217694429,0.247664882,92000000,11.55228461,22351.18182
