,읍면동명,이용자수,이용금액,업종명,등수
0,일도1동,86754,11100658240,문화레저,0
1,송산동,49830,5634553308,문화레저,1
2,연동,45576,6648606611,문화레저,2
3,천지동,34831,4572865091,문화레저,3
4,정방동,34746,4492369871,문화레저,4
5,중앙동,34746,4492369871,문화레저,5
6,이도2동,17109,2124521422,문화레저,6
7,동홍동,14440,1046820327,문화레저,7
8,조천읍,11327,516264618,문화레저,8
9,애월읍,10984,322631579,문화레저,9
10,노형동,10831,1968764080,문화레저,10
11,일도2동,10426,826370200,문화레저,11
12,삼양동,10298,386228649,문화레저,12
13,표선면,10099,317270900,문화레저,13
14,건입동,9240,431720730,문화레저,14
15,우도면,9024,393045450,문화레저,15
16,오라동,8679,1136485853,문화레저,16
17,대정읍,7939,610357789,문화레저,17
18,예래동,6813,556239050,문화레저,18
19,도두동,6728,248220900,문화레저,19
20,중문동,6605,285914721,문화레저,20
21,아라동,5634,633881510,문화레저,21
22,한림읍,5491,229198185,문화레저,22
23,외도동,4262,149968300,문화레저,23
24,이도1동,4130,491640077,문화레저,24
25,용담2동,4108,214288234,문화레저,25
26,삼도2동,3816,420807658,문화레저,26
27,화북동,3605,398229858,문화레저,27
28,성산읍,3353,254941750,문화레저,28
29,구좌읍,3349,99702350,문화레저,29
30,남원읍,3177,143692623,문화레저,30
31,한경면,2906,76881225,문화레저,31
32,이호동,2176,110831759,문화레저,32
33,안덕면,1986,135499450,문화레저,33
34,삼도1동,1920,593586280,문화레저,34
35,용담1동,1587,156303439,문화레저,35
36,영천동,1274,169131410,문화레저,36
37,추자면,408,23445016,문화레저,37
38,대륜동,372,99635200,문화레저,38
39,서홍동,85,80495220,문화레저,39
40,대천동,40,19419000,문화레저,40
