상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,행정동코드,법정동코드,지번주소,도로명주소,신우편번호,경도,위도
숙성1퍼센트,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 3785-3,제주특별자치도 제주시 노형10길 25,63083,126.4798935,33.48333476
광어탐나도,음식,일식/수산물,횟집,한식 음식점업,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 76-15,제주특별자치도 제주시 연신로 87-6,63228,126.5498746,33.49410884
어머니몸국,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025923,제주특별자치도 제주시 조천읍 조천리 2360-2,제주특별자치도 제주시 조천읍 신북로 245,63331,126.638489,33.53738072
현의산책,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025926,제주특별자치도 서귀포시 성산읍 온평리 128-1,제주특별자치도 서귀포시 성산읍 온평관전로59번길 49,63633,126.9060689,33.41461712
부산서면,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 274-8,제주특별자치도 제주시 연동8길 10,63133,126.4904387,33.48512256
나무,음식,커피점/카페,전통찻집/인삼찻집,비알콜 음료점업,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025930,제주특별자치도 제주시 조천읍 선흘리 468-12,제주특별자치도 제주시 조천읍 선교로 560,63341,126.710438,33.45618638
우도회초밥,음식,일식/수산물,음식점-초밥전문,일식 음식점업,제주특별자치도,제주시,우도면,우도면,5011033000,5011033021,제주특별자치도 제주시 우도면 연평리 2427-3,제주특별자치도 제주시 우도면 우도해안길 336,63365,126.9438769,33.50814681
탐나라망고농장,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025027,제주특별자치도 서귀포시 대정읍 신평리 1441-1,제주특별자치도 서귀포시 대정읍 일주서로3000번길 294-11,63516,126.2421898,33.26636353
한라산청정둘레벌꿀,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025329,제주특별자치도 서귀포시 남원읍 신례리 973-1,제주특별자치도 서귀포시 남원읍 신례로 266,63608,126.630732,33.28837214
참숯나라,음식,한식,갈비/삼겹살,한식 음식점업,제주특별자치도,서귀포시,대천동,강정동,5013060000,5013011600,제주특별자치도 서귀포시 강정동 148-8,제주특별자치도 서귀포시 신서로52번길 22,63566,126.5068765,33.25510132
더들집,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025621,제주특별자치도 제주시 구좌읍 동복리 1607,제주특별자치도 제주시 구좌읍 동복로1길 23-3,63347,126.7128798,33.55431486
빨간궁전,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025334,제주특별자치도 제주시 애월읍 애월리 21,제주특별자치도 제주시 애월읍 고내봉길 42-9,63044,126.3352562,33.45937921
해맞이동산,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,표선면,표선면,5013032000,5013032023,제주특별자치도 서귀포시 표선면 성읍리 2060-1,제주특별자치도 서귀포시 표선면 번영로 2658-2,63624,126.7872147,33.39829273
진산,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,일도2동,일도이동,5011052000,5011010200,제주특별자치도 제주시 일도이동 138-17,제주특별자치도 제주시 동문로 146,63250,126.5419058,33.51307462
웅담,음식,한식,기타고기요리,한식 음식점업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025024,제주특별자치도 제주시 한림읍 한림리 1587-2,제주특별자치도 제주시 한림읍 한림로5길 23,63032,126.2614162,33.4147132
흙집휴펜션,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025325,제주특별자치도 제주시 애월읍 수산리 1319-1,제주특별자치도 제주시 애월읍 하소로 302,63056,126.3901455,33.45578577
케이마트정육코너,소매,음/식료품소매,정육점,육류 소매업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 1059-5,제주특별자치도 제주시 정존11길 36,63099,126.4747343,33.48672436
월계,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,아라동,월평동,5011063000,5011013500,제주특별자치도 제주시 월평동 1088-2,제주특별자치도 제주시 월평1길 8,63311,126.5737968,33.47171171
신세계농수산,소매,음/식료품소매,수산물소매,수산물 소매업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 931-1,제주특별자치도 제주시 원노형6길 3-4,63082,126.4833758,33.48539694
우현청과,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,제주시,화북동,화북이동,5011060000,5011011200,제주특별자치도 제주시 화북이동 2979-18,제주특별자치도 제주시 황사평6길 69-1,63305,126.5612099,33.4938443
섬집오후,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025923,제주특별자치도 제주시 조천읍 조천리 3083,제주특별자치도 제주시 조천읍 조천7길 19-11,63331,126.6343304,33.53824553
세흥장식,음식,한식,갈비/삼겹살,한식 음식점업,제주특별자치도,제주시,일도2동,일도이동,5011052000,5011010200,제주특별자치도 제주시 일도이동 981-24,제주특별자치도 제주시 동문로 96,63266,126.5368466,33.51375425
제주부씨시무공계종친회,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025325,제주특별자치도 제주시 애월읍 수산리 272,제주특별자치도 제주시 애월읍 예원남1길 69-1,63056,126.396877,33.45995706
스타성여관,숙박,모텔/여관/여인숙,모텔/여관/여인숙,여관업,제주특별자치도,서귀포시,천지동,서귀동,5013054000,5013010100,제주특별자치도 서귀포시 서귀동 308-5,제주특별자치도 서귀포시 중앙로71번길 15-4,63592,126.5597753,33.25021643
메이플해피하우스펜션,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025027,제주특별자치도 제주시 한림읍 명월리 1619-2,제주특별자치도 제주시 한림읍 명월로 108,63014,126.2675205,33.38393884
한거리푸줏간,음식,한식,기타고기요리,한식 음식점업,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025626,제주특별자치도 제주시 구좌읍 월정리 468-1,제주특별자치도 제주시 구좌읍 월정3길 49,63358,126.7944354,33.55540641
영산강가마솥,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,아라동,아라이동,5011063000,5011011800,제주특별자치도 제주시 아라이동 1474-1,제주특별자치도 제주시 중앙로 437,63246,126.5438303,33.48428289
블랑블루펜션,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025321,제주특별자치도 서귀포시 남원읍 남원리 91-7,제주특별자치도 서귀포시 남원읍 남태해안로 135,63621,126.7196621,33.27825706
