,읍면동명,점수,등수
15,송산동,1,1.0
32,정방동,3,2.0
36,천지동,5,3.0
35,중앙동,9,4.0
3,노형동,15,5.0
28,이도2동,16,6.0
25,용담2동,23,7.0
23,외도동,28,8.0
41,화북동,37,9.0
30,일도1동,37,9.0
12,삼양동,37,9.0
16,아라동,39,10.0
33,조천읍,41,11.0
31,일도2동,43,12.0
19,연동,45,13.0
0,건입동,48,14.0
10,삼도1동,51,15.0
8,동홍동,54,16.0
24,용담1동,57,17.0
5,대정읍,62,18.0
4,대륜동,62,18.0
14,성산읍,63,19.0
27,이도1동,68,20.0
22,오라동,71,21.0
7,도두동,72,22.0
40,한림읍,73,23.0
18,애월읍,76,24.0
26,우도면,82,25.0
21,예래동,83,26.0
6,대천동,83,26.0
38,표선면,85,27.0
11,삼도2동,87,28.0
29,이호동,90,29.0
34,중문동,92,30.0
9,봉개동,97,31.0
2,남원읍,102,32.0
20,영천동,104,33.0
17,안덕면,105,34.0
37,추자면,109,35.0
13,서홍동,110,36.0
42,효돈동,110,36.0
1,구좌읍,113,37.0
39,한경면,121,38.0
