,읍면동명,점수,등수
21,예래동,3,1.0
35,중앙동,6,2.0
19,연동,8,3.0
32,정방동,15,4.0
15,송산동,17,5.0
11,삼도2동,23,6.0
20,영천동,24,7.0
36,천지동,26,8.0
34,중문동,28,9.0
16,아라동,29,10.0
0,건입동,29,10.0
6,대천동,29,10.0
4,대륜동,38,11.0
23,외도동,39,12.0
18,애월읍,41,13.0
3,노형동,42,14.0
14,성산읍,43,15.0
28,이도2동,47,16.0
27,이도1동,53,17.0
33,조천읍,62,18.0
10,삼도1동,62,18.0
40,한림읍,63,19.0
13,서홍동,64,20.0
22,오라동,74,21.0
25,용담2동,81,22.0
2,남원읍,81,22.0
7,도두동,81,22.0
5,대정읍,82,23.0
8,동홍동,82,23.0
12,삼양동,82,23.0
38,표선면,86,24.0
17,안덕면,89,25.0
30,일도1동,91,26.0
29,이호동,92,27.0
1,구좌읍,96,28.0
37,추자면,99,29.0
24,용담1동,103,30.0
31,일도2동,107,31.0
9,봉개동,111,32.0
26,우도면,114,33.0
39,한경면,120,34.0
42,효돈동,121,35.0
41,화북동,126,36.0
