,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액
0,건입동,9240,431720730,문화레저,,
1,구좌읍,3349,99702350,문화레저,,
2,남원읍,3177,143692623,문화레저,,
3,노형동,10831,1968764080,문화레저,,
4,대륜동,372,99635200,문화레저,,
5,대정읍,7939,610357789,문화레저,,
6,대천동,40,19419000,문화레저,,
7,도두동,6728,248220900,문화레저,,
8,동홍동,14440,1046820327,문화레저,,
9,삼도1동,1920,593586280,문화레저,,
10,삼도2동,3816,420807658,문화레저,,
11,삼양동,10298,386228649,문화레저,,
12,서홍동,85,80495220,문화레저,,
13,성산읍,3353,254941750,문화레저,,
14,송산동,49830,5634553308,문화레저,,
15,아라동,5634,633881510,문화레저,,
16,안덕면,1986,135499450,문화레저,,
17,애월읍,10984,322631579,문화레저,,
18,연동,45576,6648606611,문화레저,,
19,영천동,1274,169131410,문화레저,,
20,예래동,6813,556239050,문화레저,,
21,오라동,8679,1136485853,문화레저,,
22,외도동,4262,149968300,문화레저,,
23,용담1동,1587,156303439,문화레저,,
24,용담2동,4108,214288234,문화레저,,
25,우도면,9024,393045450,문화레저,,
26,이도1동,4130,491640077,문화레저,,
27,이도2동,17109,2124521422,문화레저,,
28,이호동,2176,110831759,문화레저,,
29,일도1동,86754,11100658240,문화레저,,
30,일도2동,10426,826370200,문화레저,,
31,정방동,34746,4492369871,문화레저,,
32,조천읍,11327,516264618,문화레저,,
33,중문동,6605,285914721,문화레저,,
34,중앙동,34746,4492369871,문화레저,,
35,천지동,34831,4572865091,문화레저,,
36,추자면,408,23445016,문화레저,,
37,표선면,10099,317270900,문화레저,,
38,한경면,2906,76881225,문화레저,,
39,한림읍,5491,229198185,문화레저,,
40,화북동,3605,398229858,문화레저,,
0,건입동,38514,3294390279,소매업,26.0,126707318.42307693
1,구좌읍,19640,1267864840,소매업,65.0,19505612.923076924
2,남원읍,39206,2322617642,소매업,108.0,21505718.907407407
3,노형동,232595,8715171311,소매업,68.0,128164283.98529412
4,대륜동,39400,1641849178,소매업,30.0,54728305.93333333
5,대정읍,92956,2979355940,소매업,71.0,41962759.71830986
6,대천동,33780,931831070,소매업,29.0,32132105.862068966
7,도두동,17380,1682919418,소매업,18.0,93495523.22222222
8,동홍동,45669,2706782230,소매업,34.0,79611242.05882353
9,봉개동,8709,763546770,소매업,14.0,54539055.0
10,삼도1동,29669,2312428647,소매업,19.0,121706770.89473684
11,삼도2동,17233,856505569,소매업,19.0,45079240.473684214
12,삼양동,57604,3351398768,소매업,28.0,119692813.14285715
13,서홍동,13241,337320005,소매업,18.0,18740000.277777776
14,성산읍,73542,3426939242,소매업,72.0,47596378.36111111
15,송산동,299191,15179397255,소매업,13.0,1167645942.6923077
16,아라동,102800,2958542645,소매업,45.0,65745392.11111111
17,안덕면,22399,1100608807,소매업,45.0,24457973.48888889
18,애월읍,87769,3512815249,소매업,108.0,32526067.12037037
19,연동,145821,4191700473,소매업,83.0,50502415.3373494
20,영천동,21434,1168084125,소매업,38.0,30739055.92105263
21,예래동,15188,746039052,소매업,15.0,49735936.8
22,오라동,27299,1915791994,소매업,28.0,68421142.64285715
23,외도동,55540,2855606785,소매업,16.0,178475424.0625
24,용담1동,33964,2743285455,소매업,27.0,101603165.0
25,용담2동,176974,6464911227,소매업,57.0,113419495.21052632
26,우도면,11146,237126650,소매업,6.0,39521108.333333336
27,이도1동,140393,7504544699,소매업,182.0,41233762.082417585
28,이도2동,205421,8478059764,소매업,62.0,136742899.41935483
29,이호동,6838,700193064,소매업,10.0,70019306.4
30,일도1동,147731,8622323322,소매업,96.0,89815867.9375
31,일도2동,122317,4311674160,소매업,66.0,65328396.36363637
32,정방동,232622,11353592020,소매업,10.0,1135359202.0
33,조천읍,99647,3542740104,소매업,52.0,68129617.38461539
34,중문동,29682,1381880724,소매업,42.0,32901922.0
35,중앙동,232622,11353592020,소매업,53.0,214218717.35849056
36,천지동,245863,11690912025,소매업,11.0,1062810184.0909091
37,추자면,2098,210717880,소매업,5.0,42143576.0
38,표선면,56470,3154223587,소매업,86.0,36677018.45348837
39,한경면,13786,692321873,소매업,65.0,10651105.73846154
40,한림읍,68120,4015157711,소매업,90.0,44612863.45555556
41,화북동,64198,2734898028,소매업,28.0,97674929.57142857
42,효돈동,14719,955135152,소매업,30.0,31837838.4
0,건입동,19825,1774543459,숙박업,26.0,68251671.5
1,구좌읍,7010,511774005,숙박업,98.0,5222183.724489796
2,남원읍,6033,841678914,숙박업,56.0,15029980.607142856
3,노형동,13869,1845526140,숙박업,28.0,65911647.85714286
4,대륜동,13469,1673873430,숙박업,22.0,76085155.9090909
5,대정읍,7480,418881205,숙박업,60.0,6981353.416666667
6,대천동,14231,1667039113,숙박업,18.0,92613284.05555555
