,읍면동명,방문인구,이용자수,이용금액,1인당이용금액,업종
0,건입동,410288.45,3672,223620000,60898.69281045752,문화레저
0,건입동,894777.0240000001,398170,115539684844,290176.77083657734,숙박
0,건입동,894777.0240000001,1121544,47690217740,42521.9320329831,쇼핑
0,건입동,894777.0240000001,2319554,167105961720,72042.28128338465,음식
0,건입동,1489027.677,474982,94199842200,198322.9726600166,소매
1,구좌읍,486993.6609999999,41928,2758987200,65802.97653119634,문화레저
1,구좌읍,404621.97899999993,33792,3676617600,108801.42045454546,숙박
1,구좌읍,486993.6609999999,265656,9971190000,37534.21718312404,음식
1,구좌읍,486993.6609999999,119160,3448811280,28942.692849949646,쇼핑
1,구좌읍,486993.6609999999,48168,3434054400,71293.2735426009,소매
2,남원읍,1905385.1009999998,45528,3953145600,86828.8877174486,음식
2,남원읍,1452152.137,42432,5382240000,126843.89140271493,소매
2,남원읍,1804042.29,111216,11464000000000,103078693.7131348,숙박
2,남원읍,1804042.29,17592,721728960,41025.97544338336,쇼핑
2,남원읍,1725539.074,40368,12542070528,310693.3840665874,문화레저
3,노형동,2845256.277,19258800,1353201113040,70264.04101190105,소매
3,노형동,2360078.1160000004,24096,1041091200,43205.97609561753,문화레저
3,노형동,2845256.277,398184,3555265613576,8928700.33345388,숙박
3,노형동,2845256.277,4294728,382321812240,89021.19348186893,음식
3,노형동,2845256.277,19058376,1966000000000,103156.7432608109,쇼핑
4,대정읍,345816.2189999998,27840,1335408000,47967.24137931035,소매
4,대정읍,387439.2009999998,157632,8279013120,52521.1449451888,쇼핑
4,대정읍,161865.3989999998,4464,383680800,85950.0,숙박
4,대정읍,71850.13,2952,56335200,19083.739837398374,문화레저
4,대정읍,491393.87199999986,97968,7858871760,80218.76286134247,음식
5,대천동,137462.884,24872,9267575208,372610.77549051144,숙박
5,대천동,155253.00999999998,33446,2151058800,64314.381390898765,음식
5,대천동,175781.95099999997,57758,2681287030,46422.78177914748,쇼핑
5,대천동,11780.196,739,15519000,21000.0,문화레저
5,대천동,51644.676999999996,3544,1269910000,358326.7494356659,소매
6,도두동,3309969.78,134040,2778002400,20725.174574753804,쇼핑
6,도두동,978228.3569999998,5112,271718400,53153.05164319249,소매
6,도두동,518844.145,3696,383640000,103798.7012987013,문화레저
6,도두동,1666827.128,28440,4357315176,153210.80084388185,숙박
6,도두동,1717631.7380000001,103656,13138944000,126755.2674230146,음식
7,동홍동,401312.808,618336,102916621250,166441.2572614242,쇼핑
7,동홍동,48148.232,744,3050400,4100.0,문화레저
7,동홍동,329037.811,9539,986514200,103419.03763497222,소매
7,동홍동,383381.27200000006,79558,7768993800,97651.9495211041,음식
8,봉개동,89458.59700000001,2217,713146400,321671.8087505638,문화레저
8,봉개동,360724.62499999994,16480,329202870,19975.902305825242,쇼핑
7,봉개동,149633.425,3678,1050204000,285536.70473083196,숙박
8,봉개동,73724.5159999999,3797,70185000,18484.329734000527,음식
8,봉개동,157421.14899999992,12467,1337525700,107285.28916339135,소매
9,삼도1동,152129.303,73103,3146597898,43043.34839883452,음식
9,삼도1동,29185.305,2045,94193500,46060.39119804401,문화레저
8,삼도1동,152129.303,155697,31053263251,199446.76680347085,숙박
9,삼도1동,179652.61,46803,7978870500,170477.75783603615,소매
9,삼도1동,152129.303,125434,2732322780,21782.951831241928,쇼핑
10,삼도2동,414216.426,7392,693904080,93872.3051948052,문화레저
9,삼도2동,992685.754,886200,258918139944,292166.71174001356,숙박
10,삼도2동,992685.754,101712,14947080000,146954.93157149598,소매
10,삼도2동,992685.754,856416,89862117120,104928.11568209842,음식
10,삼도2동,992685.754,1580376,40068594960,25353.836656593114,쇼핑
11,삼양동,65370.785999999986,16196,953054800,58845.07285749568,음식
11,삼양동,82355.00399999999,28526,744058840,26083.532216223797,쇼핑
10,삼양동,28844.951999999997,2182,177684960,81432.15398716774,숙박
11,삼양동,26363.542999999998,3462,205162000,59261.120739456965,소매
12,서홍동,486714.4009999999,18387,1042100000,56675.912329363135,음식
12,서홍동,280652.4669999999,8554,103377130,12085.238484919337,쇼핑
12,성산읍,1273963.196,560448,21018216960,37502.528263103806,소매
11,성산읍,1273963.196,471024,5356148278656,11371285.281972893,숙박
13,성산읍,1273963.196,1382232,94542163200,68398.18727970413,음식
13,성산읍,1273963.196,794400,13081774080,16467.49003021148,쇼핑
11,성산읍,1176770.841,106104,10531405200,99255.49649400589,문화레저
12,송산동,499855.74,167210,30237450417,180835.17981580048,숙박
13,송산동,159358.744,10158,585004300,57590.50009844457,소매
14,송산동,499855.74,209339,3170632580,15145.923979764879,쇼핑
14,송산동,499855.74,147450,14657959700,99409.6961681926,음식
