,년월,읍면동명,이용자수,이용금액,총 유동인구,업종명
0,2019-01-01,건입동,412,34350300,10249409.14,문화레저
251,2019-07-01,건입동,1199,48106700,10514645.55,문화레저
258,2019-07-01,건입동,23756,850012413,63087873.3,식음료
114,2019-04-01,건입동,1735,128703700,19304312.524,쇼핑
151,2019-05-01,건입동,2192,165218040,20276198.18,쇼핑
380,2019-10-01,건입동,1584,295370559,20385765.2,숙박업
210,2019-06-01,건입동,1133,53153280,9824915.515,문화레저
338,2019-09-01,건입동,1500,196659305,19618548.124,숙박업
301,2019-08-01,건입동,25316,958646029,65702567.7,식음료
189,2019-06-01,건입동,1927,132005640,19649831.03,쇼핑
296,2019-08-01,건입동,1969,271745155,21900855.9,숙박업
168,2019-05-01,건입동,996,61246600,10138099.09,문화레저
344,2019-09-01,건입동,20641,780902610,58855644.372,식음료
226,2019-07-01,건입동,1436,102728950,21029291.1,쇼핑
263,2019-08-01,건입동,2309,180070440,21900855.9,쇼핑
254,2019-07-01,건입동,1845,262393962,21029291.1,숙박업
126,2019-04-01,건입동,579,44920800,9652156.262,문화레저
212,2019-06-01,건입동,1619,273634954,19649831.03,숙박업
387,2019-10-01,건입동,22474,872048298,61157295.6,식음료
300,2019-09-01,건입동,1480,114124910,19618548.124,쇼핑
170,2019-05-01,건입동,1631,263125212,20276198.18,숙박업
430,2019-11-01,건입동,20729,892317530,59830383.15,식음료
84,2019-03-01,건입동,430,33559000,10052107.74,문화레저
336,2019-10-01,건입동,1989,136699415,20385765.2,쇼핑
423,2019-11-01,건입동,1770,319521982,19943461.05,숙박업
374,2019-11-01,건입동,1670,118975280,19943461.05,쇼핑
76,2019-03-01,건입동,1808,119816560,20104215.48,쇼핑
39,2019-02-01,건입동,1709,125701930,18687020.16,쇼핑
0,2019-01-01,건입동,21604,811888207,61496454.84,식음료
301,2019-08-01,건입동,3997,245730120,54752139.75,소매업
457,2019-12-01,건입동,520,42704600,10359289.55,문화레저
215,2019-06-01,건입동,3439,229303430,49124577.575,소매업
43,2019-02-01,건입동,19575,705872710,56061060.48,식음료
344,2019-09-01,건입동,3330,318476620,49046370.31,소매업
172,2019-05-01,건입동,3466,271705330,50690495.45,소매업
416,2019-11-01,건입동,766,53416800,9971730.525,문화레저
129,2019-04-01,건입동,3267,239044090,48260781.31,소매업
387,2019-10-01,건입동,3714,282855390,50964413.0,소매업
86,2019-03-01,건입동,21976,830919306,60312646.440000005,식음료
430,2019-11-01,건입동,3710,286870460,49858652.625,소매업
86,2019-03-01,건입동,3460,235990744,50260538.7,소매업
375,2019-10-01,건입동,974,56714933,10192882.6,문화레저
129,2019-04-01,건입동,22189,865063892,57912937.572000004,식음료
