,년월,시도명,읍면동명,업종명,이용자수,이용금액
1001,2019-01-01,제주시,일도1동,여관업,340,19829600
1012,2019-01-01,제주시,일도1동,호텔업,31,2701000
2175,2019-02-01,제주시,일도1동,여관업,283,14771800
2186,2019-02-01,제주시,일도1동,호텔업,23,1594000
3359,2019-03-01,제주시,일도1동,여관업,308,18046700
3370,2019-03-01,제주시,일도1동,호텔업,28,1962000
4548,2019-04-01,제주시,일도1동,여관업,283,16382900
4559,2019-04-01,제주시,일도1동,호텔업,23,1658090
5732,2019-05-01,제주시,일도1동,여관업,311,17525000
5743,2019-05-01,제주시,일도1동,호텔업,29,2148950
6925,2019-06-01,제주시,일도1동,여관업,265,13817400
6936,2019-06-01,제주시,일도1동,호텔업,31,2896900
8105,2019-07-01,제주시,일도1동,여관업,287,16547650
8116,2019-07-01,제주시,일도1동,호텔업,21,1585000
9290,2019-08-01,제주시,일도1동,여관업,328,18175000
9301,2019-08-01,제주시,일도1동,호텔업,31,2343250
10478,2019-09-01,제주시,일도1동,여관업,254,13868550
10489,2019-09-01,제주시,일도1동,호텔업,18,1333800
11668,2019-10-01,제주시,일도1동,여관업,351,23784650
11679,2019-10-01,제주시,일도1동,호텔업,35,4194400
12854,2019-11-01,제주시,일도1동,여관업,311,18934100
12865,2019-11-01,제주시,일도1동,호텔업,37,2425200
14041,2019-12-01,제주시,일도1동,여관업,309,15104100
14052,2019-12-01,제주시,일도1동,호텔업,28,3188050
