,년월,시도명,읍면동명,업종명,이용자수,이용금액
288,2019-01-01,서귀포시,예래동,여관업,1795,321969124
300,2019-01-01,서귀포시,예래동,호텔업,6689,2492025425
1458,2019-02-01,서귀포시,예래동,여관업,904,319280719
1470,2019-02-01,서귀포시,예래동,호텔업,5621,2225858522
2634,2019-03-01,서귀포시,예래동,여관업,974,290733256
2646,2019-03-01,서귀포시,예래동,호텔업,5559,1901160780
3823,2019-04-01,서귀포시,예래동,여관업,1284,347500848
3835,2019-04-01,서귀포시,예래동,호텔업,5995,2677212972
5006,2019-05-01,서귀포시,예래동,여관업,1400,363313824
5018,2019-05-01,서귀포시,예래동,호텔업,6647,2896639344
6198,2019-06-01,서귀포시,예래동,여관업,1480,383749878
6211,2019-06-01,서귀포시,예래동,호텔업,5759,2691636612
7387,2019-07-01,서귀포시,예래동,여관업,1573,406942967
7399,2019-07-01,서귀포시,예래동,호텔업,6147,3026341667
8567,2019-08-01,서귀포시,예래동,여관업,1816,448472771
8579,2019-08-01,서귀포시,예래동,호텔업,6874,3694513854
9752,2019-09-01,서귀포시,예래동,여관업,1373,284855666
9764,2019-09-01,서귀포시,예래동,호텔업,4727,2361434418
10941,2019-10-01,서귀포시,예래동,여관업,1485,391295314
10953,2019-10-01,서귀포시,예래동,호텔업,5791,2922570364
12134,2019-11-01,서귀포시,예래동,여관업,1319,302857690
12146,2019-11-01,서귀포시,예래동,호텔업,4791,2356735896
13317,2019-12-01,서귀포시,예래동,여관업,1203,317003826
13329,2019-12-01,서귀포시,예래동,호텔업,5427,2508251613
