,읍면동명,이용자수,이용금액,1인당 이용금액,계절
21,예래동,21859,8476561024,387783.56850725104,봄
24,용담1동,674,242185066,359325.0237388724,봄
29,이호동,411,122313493,297599.7396593674,봄
27,이도1동,4122,1126223736,273222.64337700146,봄
11,삼도2동,8945,2326714978,260113.46875349357,봄
7,도두동,762,193417115,253828.23490813648,봄
34,중문동,6045,1426046178,235905.07493796526,봄
19,연동,28531,6483624344,227248.4085380814,봄
42,효돈동,26,5596000,215230.76923076922,봄
16,아라동,1389,298247901,214721.3110151188,봄
6,대천동,3357,705201694,210069.018170986,봄
3,노형동,4136,755975509,182779.37838491297,봄
28,이도2동,3648,660109098,180950.95888157896,봄
0,건입동,4513,800263331,177324.02636826943,봄
37,추자면,225,39565010,175844.48888888888,봄
25,용담2동,1271,214311884,168616.7458693942,봄
41,화북동,2,330000,165000.0,봄
4,대륜동,4101,597565488,145712.1404535479,봄
13,서홍동,658,93802789,142557.4300911854,봄
36,천지동,9215,1248875849,135526.4079218665,봄
35,중앙동,8557,1155073060,134985.7496786257,봄
32,정방동,8557,1155073060,134985.7496786257,봄
33,조천읍,3523,451198580,128072.26227646891,봄
15,송산동,12598,1601424282,127117.34259406255,봄
10,삼도1동,3021,382655423,126665.15160542866,봄
18,애월읍,9469,1100645696,116236.74052170239,봄
12,삼양동,315,34615112,109889.24444444444,봄
20,영천동,4113,437266922,106313.37758327255,봄
9,봉개동,216,21879250,101292.82407407407,봄
23,외도동,3363,314971177,93657.79869164436,봄
40,한림읍,4239,393412046,92807.74852559566,봄
38,표선면,1241,109314735,88086.00725221596,봄
2,남원읍,1121,94889585,84647.26583407672,봄
8,동홍동,297,24174700,81396.29629629629,봄
22,오라동,878,68148760,77618.17767653758,봄
14,성산읍,7655,591936334,77326.7581972567,봄
31,일도2동,672,49797000,74102.67857142857,봄
39,한경면,197,14157000,71862.94416243654,봄
1,구좌읍,1606,111962241,69714.9694894147,봄
30,일도1동,982,57723640,58781.71079429735,봄
5,대정읍,2727,118672460,43517.58709204254,봄
17,안덕면,11044,462928624,41916.75335023542,봄
26,우도면,440,14634500,33260.22727272727,봄
21,예래동,23649,10651657749,450406.26449321327,여름
24,용담1동,585,157067590,268491.6068376068,여름
11,삼도2동,8806,2233309919,253612.30059050646,여름
34,중문동,8048,1901955698,236326.5032306163,여름
27,이도1동,4181,954235917,228231.50370724706,여름
19,연동,30928,6467510582,209115.0602043456,여름
7,도두동,1152,236900146,205642.48784722222,여름
16,아라동,2058,414912729,201609.68367346938,여름
41,효돈동,51,10183000,199666.66666666666,여름
3,노형동,4112,760448959,184934.08535992217,여름
29,이호동,632,116666564,184598.99367088606,여름
28,이도2동,3444,609333627,176926.14024390245,여름
37,추자면,287,50766010,176885.05226480836,여름
4,대륜동,4965,820598234,165276.58288016112,여름
0,건입동,5433,807774071,148679.1958402356,여름
33,조천읍,4437,631626889,142354.49380211855,여름
2,남원읍,1935,263001916,135918.30284237725,여름
13,서홍동,621,78954730,127141.27214170693,여름
25,용담2동,1313,165340086,125925.4272658035,여름
18,애월읍,12841,1566103008,121961.14072112764,여름
15,송산동,15128,1778661903,117574.16069539926,여름
36,천지동,10935,1278983719,116962.38856881573,여름
12,삼양동,304,35529140,116872.17105263157,여름
35,중앙동,10314,1200028989,116349.52385107621,여름
32,정방동,10314,1200028989,116349.52385107621,여름
20,영천동,4971,567306448,114123.20418426876,여름
6,대천동,4616,511649775,110842.6722270364,여름
38,표선면,1249,133038570,106516.06885508407,여름
10,삼도1동,3079,316936764,102934.96719714193,여름
40,한림읍,6165,505841472,82050.52262773723,여름
23,외도동,3782,300769767,79526.6438392385,여름
22,오라동,779,61033697,78348.77663671374,여름
