,읍면동명
0,강정동
1,건입동
2,구좌읍
3,남원읍
4,내도동
5,노형동
6,대정읍
7,대포동
8,도남동
9,도두이동
10,도두일동
11,도련이동
12,도련일동
13,도순동
14,도평동
15,동홍동
16,법환동
17,보목동
18,봉개동
19,삼도이동
20,삼도일동
21,삼양삼동
22,삼양이동
23,삼양일동
24,상예동
25,상효동
26,색달동
27,서귀동
28,서호동
29,서홍동
30,성산읍
31,신효동
32,아라이동
33,아라일동
34,안덕면
35,애월읍
36,연동
37,영남동
38,영평동
39,오등동
40,오라삼동
41,오라이동
42,오라일동
43,외도이동
44,외도일동
45,용강동
46,용담삼동
47,용담이동
48,용담일동
49,우도면
50,월평동
51,이도이동
52,이도일동
53,이호이동
54,이호일동
55,일도이동
56,일도일동
57,조천읍
58,중문동
59,추자면
60,토평동
61,표선면
62,하예동
63,하원동
64,하효동
65,한경면
66,한림읍
67,해안동
68,호근동
69,화북이동
70,화북일동
71,회수동
72,회천동
