,읍면동명,점수,등수
15,송산동,3,1.0
36,천지동,10,2.0
32,정방동,10,2.0
35,중앙동,11,3.0
3,노형동,11,3.0
16,아라동,17,4.0
25,용담2동,20,5.0
28,이도2동,21,6.0
19,연동,26,7.0
22,오라동,30,8.0
31,일도2동,36,9.0
12,삼양동,42,10.0
0,건입동,43,11.0
21,예래동,49,12.0
8,동홍동,53,13.0
18,애월읍,55,14.0
34,중문동,58,15.0
23,외도동,58,15.0
20,영천동,59,16.0
41,화북동,60,17.0
6,대천동,62,18.0
33,조천읍,65,19.0
11,삼도2동,66,20.0
13,서홍동,67,21.0
4,대륜동,71,22.0
5,대정읍,71,22.0
14,성산읍,72,23.0
7,도두동,77,24.0
40,한림읍,77,24.0
17,안덕면,81,25.0
30,일도1동,84,26.0
1,구좌읍,88,27.0
9,봉개동,93,28.0
42,효돈동,94,29.0
29,이호동,97,30.0
10,삼도1동,98,31.0
27,이도1동,102,32.0
38,표선면,102,32.0
24,용담1동,106,33.0
2,남원읍,108,34.0
39,한경면,114,35.0
26,우도면,117,36.0
37,추자면,125,37.0
