,읍면동명,점수
0,송산동,0
1,정방동,1
2,중앙동,2
3,천지동,3
4,노형동,4
5,오라동,5
6,아라동,6
7,용담2동,7
8,건입동,8
9,예래동,9
10,연동,10
11,영천동,11
12,이도2동,12
13,일도2동,13
14,중문동,14
15,삼양동,15
16,동홍동,16
17,삼도2동,17
18,도두동,18
19,서홍동,19
20,화북동,20
21,외도동,21
22,대천동,22
23,애월읍,23
24,이호동,24
25,대륜동,25
26,대정읍,26
27,조천읍,27
28,성산읍,28
29,봉개동,29
30,안덕면,30
31,용담1동,31
32,효돈동,32
33,한림읍,33
34,일도1동,34
35,삼도1동,35
36,표선면,36
37,이도1동,37
38,구좌읍,38
39,남원읍,39
40,한경면,40
41,추자면,41
42,우도면,42
0,송산동,0
1,정방동,1
2,중앙동,2
3,천지동,3
4,용담2동,4
5,오라동,5
6,아라동,6
7,노형동,7
8,이도2동,8
9,건입동,9
10,삼양동,10
11,일도2동,11
12,영천동,12
13,서홍동,13
14,연동,14
15,대천동,15
16,화북동,16
17,예래동,17
18,동홍동,18
19,외도동,19
20,일도1동,20
21,삼도2동,21
22,중문동,22
23,효돈동,23
24,봉개동,24
25,대륜동,25
26,애월읍,26
27,도두동,27
28,조천읍,28
29,삼도1동,29
30,대정읍,30
31,성산읍,31
32,이호동,32
33,한림읍,33
34,이도1동,34
35,안덕면,35
36,구좌읍,36
37,용담1동,37
38,우도면,38
39,표선면,39
40,남원읍,40
41,한경면,41
42,추자면,42
0,노형동,0
1,이도2동,1
2,연동,2
3,송산동,3
4,천지동,4
5,아라동,5
6,애월읍,6
7,중앙동,7
8,정방동,8
9,용담2동,9
10,조천읍,10
11,한림읍,11
12,일도2동,12
13,성산읍,13
14,구좌읍,14
15,대정읍,15
16,안덕면,16
17,삼양동,17
18,외도동,18
19,동홍동,19
20,오라동,20
21,대륜동,21
22,중문동,22
23,예래동,23
24,화북동,24
25,대천동,25
26,건입동,26
27,표선면,27
28,삼도2동,28
29,남원읍,29
30,일도1동,30
31,이도1동,31
32,도두동,32
33,한경면,33
34,삼도1동,34
35,서홍동,35
36,영천동,36
37,우도면,37
38,용담1동,38
39,효돈동,39
40,봉개동,40
41,이호동,41
42,추자면,42
